Gadget Type,Gender,Language,Product Name,Opinion,Sentiment
Smartphone,Male,English,Realme Narzo N61,"I had a great experience using this phone. It's affordable and works really well for everyday use. The only thing that could be better is the camera quality, but considering the low price, it's still a fantastic deal. If you're looking for a budget-friendly phone that gets the job done, this is a solid choice!",Positive
Smartphone,Male,English,Realme Narzo N61,Excellent phone and excellent price I got it at 7500. Great phone at this price,Positive
Smartphone,Male,English,Realme Narzo N61,Its an Ok-Ok phone at this price range. definately try it if u have low budget.,Neutral
Smartphone,Male,English,Realme Narzo N61,"Okay for basic use, but it falls short in a few key areas. The charging speed is not as fast as expected, and the battery drains quicker than anticipated. The camera quality is average, not very impressive in low-light conditions. While performance is decent for casual usage, it lags during multitasking or when running heavier apps. Overall, it's good for light usage, but if you're looking for more efficiency, this may not be the best option.",Neutral
Smartphone,Male,English,Realme Narzo N61,"Just received my realme n61, very slim and light phone 👌nice phone considering price.",Neutral
Smartphone,Male,English,Realme Narzo N61,"Using it for a month, so far so good and reliable!",Positive
Smartphone,Male,English,Realme Narzo N61,I got this phone in sale under 6000 . I think its a good phone under 7000 and if you have no problem with its inability of 5g then you are good to go. This phone is not for hardcore phone users who need performance,Positive
Smartphone,Male,English,Realme Narzo N61,"Phone is nice but delivery boy experience was very bad , for exchange good condition phone he asked for 500 Rs and put it in his pocket without mentioning any issue in his remark",Neutral
Smartphone,Male,English,Realme Narzo N61,Worth it product for the price . Build quality is really good . Also battery is very good,Positive
Smartphone,Male,English,Realme Narzo N61,Great performance and quality build.Worth it.,Positive
Smartphone,Male,English,Realme Narzo N61,Product is nice in that budget but when I take camera it takes slowly. Any way when compare to price it is suitable.,Neutral
Smartphone,Male,English,Realme Narzo N61,Product is good.. features must be upgraded..charging is very slow 10 watt charger...screen guard is missing in the box .. every thing is good worth of money..go through it..,Positive
Smartphone,Male,English,Realme Narzo N61,Loud speaker making noise on call,Neutral
Smartphone,Male,English,Realme Narzo N61,Mobile is good but need 5g for better rating,Positive
Smartphone,Male,English,POCO C61,"it is very laggy and the ads are a pain to deal with so don't take the 4 gb ram the os it self is buggy and it has no light sensor 😞 it uses the camera the camera bezel is just stupid , then why buy it idk my dad wanted it because it's cheap thats , buy the samsung m05 it the same price much cheaper around 6500 and has a nice camera and no bezel b.s and cools clean and good os 😄",Neutral
Smartphone,Male,Hindi,POCO C61,Price ke hisab se kafi badhiya phone hai,Neutral
Smartphone,Male,English,POCO C61,Performance average but camer superb,Positive
Smartphone,Male,Hindi,POCO C61,Display pe line mark aa raha h .... return policy ke andar hi problem aaya uske baad,Neutral
Smartphone,Male,English,Realme Narzo N61,"It is good phone in this price range. It can do basic task with ease. - Build quality is good. - Phone screen is huge(I am not big fan of huge screens though). - Supports all basic functions with some casual gaming. - Filled with many pre installed apps. - Don't expect too much with camera. - Sound is loud enough. - Charging take 90-120 mins. - Fingerprint sensor is less sensitive (my view) - Heats while charging and Gaming. I think purpose of this phone is for day to day calling with smartphone features of internet browsing, payments, YouTube, etc. It does well in that area.",Positive
Smartphone,Male,English,Realme Narzo N61,Phone scores in all area. Must buy if you are looking for budget phone,Neutral
Smartphone,Male,English,POCO C61,Value for money,Neutral
Smartphone,Male,English,POCO C61,"Bought for my grand parent, a steal if u buy just to watch YouTube and call, it has the biggest screen and best battery",Positive
Smartphone,Male,English,POCO C61,"Don't buy this phone,Worst battery in the poco phone.",Neutral
Smartphone,Male,Hindi,POCO C61,"Ye phone maine bhi amazon se liya, itna bekar phone aajtak maine nahi dekha kahin, isme network he nahi rahata, itna bad feel karwata ye phone, ab kuch option bhi nahi hai so poco ka phone koi na le.",Neutral
Smartphone,Male,English,POCO C61,Hd video not working,Neutral
Smartphone,Male,English,POCO C61,Charging very slow..,Neutral
Smartphone,Male,English,POCO C61,"Phone is very slow and not able to hear voice clearly, mean 4g phones are fast. But this is very slow",Neutral
Smartphone,Male,English,OnePlus Nord CE 3,"I had been using Samsung phone for years together in the past. Though it is also a good brand, recently I changed it to Oneplus nord CE 3 for the first time. It is really an awesome phone in terms of looks, performance and fast charging. Value for money.",Positive
Smartphone,Male,English,OnePlus Nord CE 3,"Camera quality is great, charging speed is awesome. No heating issue till now. Great performance.",Positive
Smartphone,Male,English,OnePlus Nord CE 3,I really was fond of one. Plus mobiles but this model disappointed me so much it has been just a month and 15 days it has started hanging touch sensitivity is delayed...Charging speed is an only good thing about this phone .. picture quality is not that good often blue and pixels are always not accurate .. brightness of phone is normal .. it's been a month it is showing a lot of viruses...,Negative
Smartphone,Male,English,OnePlus Nord CE 3,Phone is good but some time heat problem,Neutral
Smartphone,Male,English,OnePlus Nord CE 3,Avarage product,Neutral
Smartphone,Male,English,OnePlus Nord CE 3,"Sound, performance, display",Neutral
Smartphone,Male,English,OnePlus Nord CE 3,Camera is poor other wise all feature is good,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"The Boat Rockerz 450 are a solid choice for those looking for affordable wireless headphones with decent sound quality and comfortable fit. The pronounced bass might not be everyone's cup of tea, but the overall sound quality and battery life are impressive. If you're on a budget and prioritize bass-heavy sound and comfort, the Rockerz 450 are definitely worth considering.",Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"**Product Review: Boat Headphones**â­â­â­â­â­I recently purchased the Boat headphones, and I couldn't be happier with my choice! From the moment I unboxed them, the quality was evident. The design is sleek and comfortable, perfect for long listening sessions. The sound quality is impressive, with clear highs and rich bass that really enhances my music experience.The battery life is outstanding; Iâ€™ve been using them for over a week without needing to recharge. They also connect seamlessly to my devices via Bluetooth, and Iâ€™ve had no issues with connectivity.One of my favorite features is the built-in microphone, which makes taking calls super convenient. Overall, these headphones deliver great value for the price, and I highly recommend them to anyone looking for quality audio on a budget. Perfect for daily use or workouts!",Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,The product durability was really good... The the sound quality was good... And the most amazing part was that we got aux cable in the box.... And the battery backup was damm too good and it charges 10% to 50%-60% in just a minute or two minutes..,Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"Well, according to the price the headphones are very high qualityIt's almost been a week using them, they connect to your device easily and the sound quality is really goodI like half flexible their fit is, they are really comfortable , and the battery life is also very long lastingFor me it is a 10/10âœ¨",Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"The boAt Rockerz line is boAt's super cheap lineup for budget buyers. This will likely be many people's first foray into the world of wireless headphones, and is likely to turn many people off by its many compromises. It might be worth buying your grandma as a gift, but is not something I'd ever recommend buying for your own use.1. Sound Quality - awful. Honestly, the boAt Rockerz 450 does little more than bring your phone's audio loser to your ears. It isn't any significant improvement over your phone's speaker, and might actually be an active downgrade from your computer's speakers. Most audio sounds tinny, there's little to no bass, and absolutely zero noise cancellation. On or off, you can and will hear the outside world. Those who carry wireless headphones to tune out the outside world on walks or airplanes will be sorely disappointed. The soundstage is very small and shallow, and even non-audiophiles will notice the poor sound quality.2. Comfort - Horrendous. The boAt Rockerz 450 is a pain to wear, both literally and figuratively. The audio sounds horrible, and your ears will feel horrible too after an hour of use, maybe less. The good battery life means nothing if you cant use these headphones for more than 45 minutes at a time. After removing these headphones, your ears will hurt for a long while, and you'll feel like never wearing these again. The cans are very small, even for on-ear headphones, and people with spectacles or large heads will be even worse off. The frame doesn't extend very far, and also slips down quite easily.3. Build Quality - In a word - bad. See a pattern here? The headphones reflect their low price point, and are entirely made of cheap plastic. The plastic also doesn't flex much, and the headphones seem very easy to break by accident. It's worth noting that the cups don't extend much. If you're one of those guys who like to leave their headphones dangling around their neck when not in use, you'll find yourself unable to lower your head without your headphones biting into your jaw. Finally, the cups absorb a lot of sweat. You'l find yourself wanting to wash the cups and frustrated that you can't. It's really gross.5. Mic - Absolutely trash tier. You won't even be able to use the mic for how bad it is. I honestly forgot these headphones even had a mic because it's so soft and picks up so much background noise. Callers will not be able to hear you clearly and will keep urging you to switch back to your phone, and you can forget about trying to use these with your PC for voice chat or conference calls. Don't be fooled into thinking you're getting a mic with this headset - the mic only exists on paper. It's really not worth using.4. Final words - Just, don't. Spend a bit more, get a decent pair of wireless headphones. The headset doesn't even connect properly half the time, and when it does, you'll wish it didn't. Save up some money, work at McDonalds, and treat yourself to some good headphones. Anything, but not these ones. The only good thing about these cans is the battery life, but what use it battery life if you don't want to use these headphones?1 Build",Negative
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"Speaker is too good for music both aux and bluetooth. Mic dosesn't work through aux cable, it requires bluetooth connectivity and it keeps disconnecting. this device is okay for listerning music only.",Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"this headphone is one of the best that i've used so far. for the past few year i had to keep chanfging my headphones due to poor quality, but once i started using boat headphones literally , it's been over a month and i have no complaint in the working quality and built quality.",Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Battery life is good but it comes with type A charging and in box there is no cable for charging so you have to buy cable from outside. If you are seeking headphones for running then it is a good choice because you can adjust its size.,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,"packaging were not secured yeah but headphones are good in this price range comfort is fine but u can't wear it for long time u can increase comfort on listening less than 30 %volume , u can have it if its come under 1400",Positive
Headphones,Female,English,Boat Rockerz 450 on Ear Bluetooth Headphone,I like the product .. the colour is so pretty (i bought the aqua water colour) .. the sound quality is also good ! always love the products of BOAT !!! 100% green light to purchase !!ðŸŽ§,Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Very very beautiful product.. ðŸ˜ðŸ˜,Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,The product is good quality. Came in good packing.The reception is much above the average.,Positive
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,it is very good,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Good connectivity but built quality is Detroited what use to come earlier. I have 3 time in last 5 year..,Neutral
Headphones,Male,English,Boat Rockerz 450 on Ear Bluetooth Headphone,Nice product in this price range. sound quality also nice.,Positive
